label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,sample,type,x_std,y_std,z_std,rotation,yflip,dac_threshold,soxn_threshold
168,43.13253012048193,285.56174698795184,431.6651606425703,2403.0,1.1634375397639856,12628.760542168675,6999.786144578313,18451.628012048193,Bi_3,Bi OE,0.17303659749351086,0.4219653052688408,-8.770597983306857,85,True,17500,30000
169,41.278294573643414,381.8139534883721,419.3232558139535,1526.0,1.303936228307173,8493.22015503876,9978.128682170543,51361.02713178295,Bi_3,Bi OE,0.18843022387441155,0.22058227257185503,-11.605601640953225,85,True,17500,30000
170,41.96296296296296,396.995995995996,227.86886886886887,1225.0,1.1231982167033492,24730.327327327326,8243.008008008008,31942.064064064063,Bi_3,Bi OE,0.6667963419521774,0.16362179755602435,-14.707681418992685,85,True,17500,30000
171,40.537688442211056,407.64489112227807,237.60134003350083,746.0,1.396660181737873,12366.438860971524,7289.557788944724,4932.713567839196,Bi_3,Bi OE,0.6405730752897958,0.14283887849940502,-16.028515574233282,85,True,17500,30000
172,42.61346633416459,548.0249376558603,215.46716541978387,1467.0,1.318948273823028,10832.318370739817,8963.97506234414,26411.750623441396,Bi_3,Bi OE,0.6736295047392771,-0.15150851388606879,-15.463396641282593,85,True,17500,30000
173,43.0147954743255,573.3237597911227,214.90339425587467,1459.0,1.1737577197105207,12288.473455178417,10480.41949521323,38758.270670147955,Bi_3,Bi OE,0.670986789685577,-0.20410025780673413,-15.26867705739594,85,True,17500,30000
174,43.05358807082945,601.7898415657037,150.53774464119292,2646.0,1.4448623147295767,19171.658434296365,8217.599720410066,5044.463653308481,Bi_3,Bi OE,0.8280360912269724,-0.27173575462808475,-16.683657709215524,85,True,17500,30000
175,44.18881453154876,658.3867112810708,156.14818355640534,2627.0,1.282924422946469,28880.398183556405,9533.666826003824,8213.560229445508,Bi_3,Bi OE,0.8048789532523661,-0.38848201860717446,-15.879002430495746,85,True,17500,30000
176,41.744680851063826,681.671031096563,173.46808510638297,1086.0,1.6816682852622429,19672.407528641572,11014.299509001637,8337.142389525368,Bi_3,Bi OE,0.7575179508378049,-0.43446357979005024,-18.170819456817824,85,True,17500,30000
177,41.82771194165907,696.9097538742024,184.2151321786691,1366.0,1.4499278856292706,19795.106654512307,9985.07292616226,35782.459434822245,Bi_3,Bi OE,0.7280778835600874,-0.464666259163909,-17.99973450734032,85,True,17500,30000
178,43.12641204948897,829.277030661646,574.848843464228,2292.0,1.5788139830957533,14683.235072619687,8119.400215169446,3889.518020441097,Bi_3,Bi OE,-0.2741546859053372,-0.6875283047681908,-10.239001800768264,85,True,17500,30000
