label,centroid_x,centroid_y,centroid_z,area,aspherity,int_0,int_1,int_2,pca_x,pca_y,pca_z,sample,condition,in_plane,inROI,TE,RFP
510,75.59211653813196,716.2339331619537,655.8560411311054,1878.0,1.9821198197075176,910.9597257926307,1246.0839760068552,940.1842330762639,-0.578616532954439,-0.8035448002907015,-2.445206527991431,sgBi_2,sgBi,True,True,True,False
511,74.24475524475524,728.8811188811189,665.3519813519814,768.0,1.9214090220300026,1076.95337995338,966.0862470862471,479.986013986014,-0.6183924193678354,-0.8544854641051352,-3.8942967279647007,sgBi_2,sgBi,True,True,False,True
512,74.25375939849624,731.0545112781955,653.6748120300751,669.0,1.3035626301557606,786.7988721804511,989.2838345864661,269.82894736842104,-0.5684449522339217,-0.8626019700413485,-3.622694318535295,sgBi_2,sgBi,True,True,False,False
525,76.21674237508111,382.17521090201166,697.2076573653471,1905.0,1.6853569435675024,1135.5749513303049,1273.1881894873459,1136.9000648929266,-0.7718698998957889,0.5271032333520204,-5.2747081042170265,sgBi_2,sgBi,True,True,True,True
533,76.07228915662651,686.5163511187608,706.9363166953528,762.0,1.6879195001129579,1183.4956970740104,1153.631669535284,453.62478485370053,-0.798162726089617,-0.687403887200638,-3.270170934093784,sgBi_2,sgBi,True,True,False,True
553,77.22863568215892,365.3350824587706,695.3628185907046,1736.0,1.7880697636184022,1221.032983508246,1628.756371814093,293.7578710644678,-0.7649292389091322,0.5943974952458144,-4.354476589455828,sgBi_2,sgBi,True,True,False,True
563,77.68334937439846,700.6361886429258,686.7382098171319,1581.0,1.9221706357446824,1183.381135707411,1668.1231953801732,259.953801732435,-0.7113940926817143,-0.7427243342855807,-1.1251666512894616,sgBi_2,sgBi,True,True,False,True
572,78.62973977695167,362.2624535315985,664.1955390334573,1679.0,1.5153446626235338,1010.2631970260223,1070.2066914498141,430.1672862453532,-0.6321835011098842,0.608172486434414,-2.3214505231673996,sgBi_2,sgBi,True,True,False,True
573,78.14775323686214,370.48819497334347,714.2916984006093,1796.0,1.883128437407609,1221.4341203351105,1451.6976389946688,293.2284843869002,-0.8455453385345489,0.5729722172988997,-3.7941691934191795,sgBi_2,sgBi,True,True,False,True
589,79.39533073929961,689.2513618677043,721.0972762645914,1827.0,1.645665994034388,1239.741634241245,1356.4568093385215,709.9198443579767,-0.858766608061784,-0.6988855481412537,-0.22488570400236085,sgBi_2,sgBi,True,True,True,True
590,78.356637863315,698.7022780832679,704.4061272584446,1641.0,1.4286984655348027,1225.3110761979576,1037.6268656716418,252.05420267085626,-0.7869604185161593,-0.7358265076268178,-0.8388946526823844,sgBi_2,sgBi,True,True,False,True
629,79.30783242258651,337.1520947176685,672.2905282331512,1488.0,1.6257317578680874,1099.5992714025501,833.9116575591985,207.21402550091074,-0.6680506521880216,0.7079766331719491,-2.008119183172468,sgBi_2,sgBi,True,True,False,True
630,79.66264150943397,349.57132075471696,647.1154716981132,1609.0,1.8154487048501118,1115.2279245283019,924.0973584905661,399.8777358490566,-0.5600114362125108,0.6596382766150543,-1.0274430009398117,sgBi_2,sgBi,True,True,False,True
647,80.03770197486536,736.7064631956912,663.5296229802514,1403.0,1.4418305248817276,854.1947935368044,955.6023339317774,497.76032315978455,-0.6107459015161297,-0.885442111856128,1.996072065801613,sgBi_2,sgBi,True,True,False,False
660,80.69789227166277,364.3263075722092,678.9422326307572,1570.0,1.3421519340310906,1063.503512880562,1849.6854020296644,400.8266978922717,-0.6952076747037126,0.5993029100424399,-0.5482585196191536,sgBi_2,sgBi,True,True,False,True
686,82.7574144486692,375.5939163498099,718.7239543726236,1965.0,1.805809071655645,1174.228897338403,877.228897338403,267.7878326996198,-0.8646234842492455,0.5525327977817787,0.7605255758598162,sgBi_2,sgBi,True,True,False,True
701,81.63080684596576,691.9046454767727,708.7701711491443,668.0,1.426509736751513,1221.239608801956,1750.4474327628361,281.2469437652812,-0.806222075789611,-0.7088191109195141,2.2900206336839517,sgBi_2,sgBi,True,True,False,True
706,83.05217391304348,736.2628019323671,673.2850241545893,1561.0,1.5114651613468548,839.6734299516909,1749.63961352657,1252.7314009661836,-0.652677400920834,-0.8840443399866555,4.80101408900066,sgBi_2,sgBi,True,True,True,False
711,82.2561797752809,337.9947565543071,657.3288389513109,1895.0,1.5985676699200229,1150.4966292134832,1602.9235955056179,317.67191011235957,-0.6044162556376047,0.7054118603476947,1.2609311939053782,sgBi_2,sgBi,True,True,False,True
712,83.99506578947368,348.3363486842105,661.6759868421053,1677.0,1.677264196762303,1134.3651315789473,1560.2870065789473,634.5838815789474,-0.6226102683972421,0.6640044236520681,2.9878575949635433,sgBi_2,sgBi,True,True,True,True
